epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2506.34,0.69376,0.332,0.89895,0.99944,1,0.995,0.82057,0.76757,0.30066,0.88209,0.0012212,0.0012212,0.0012212
120,2526.73,0.68766,0.34086,0.90621,0.99946,1,0.995,0.82265,0.7514,0.27318,0.87334,0.0012146,0.0012146,0.0012146
121,2547.31,0.69769,0.33443,0.90487,0.99942,1,0.995,0.83668,0.7008,0.27174,0.86158,0.001208,0.001208,0.001208
122,2568.5,0.70274,0.33168,0.89957,0.99945,1,0.995,0.83759,0.7284,0.28901,0.87353,0.0012014,0.0012014,0.0012014
123,2588.76,0.72346,0.33663,0.91728,0.99946,1,0.995,0.83959,0.69464,0.28434,0.86099,0.0011948,0.0011948,0.0011948
124,2609.69,0.70227,0.34125,0.90073,0.99943,1,0.995,0.82713,0.715,0.27969,0.86128,0.0011882,0.0011882,0.0011882
125,2629.97,0.67399,0.32601,0.89143,0.99939,1,0.995,0.81515,0.75093,0.29313,0.87376,0.0011816,0.0011816,0.0011816
126,2650.77,0.69309,0.32831,0.90306,0.9991,1,0.995,0.83732,0.70064,0.28344,0.86031,0.001175,0.001175,0.001175
127,2671.53,0.67461,0.31978,0.88778,0.9992,1,0.995,0.84304,0.67096,0.27916,0.85212,0.0011684,0.0011684,0.0011684
128,2692.5,0.73016,0.34304,0.91353,0.99937,1,0.995,0.82068,0.78836,0.29809,0.87897,0.0011618,0.0011618,0.0011618
129,2713.57,0.71131,0.33439,0.90351,0.99943,1,0.995,0.82181,0.75434,0.28109,0.87322,0.0011552,0.0011552,0.0011552
130,2734.49,0.68929,0.32241,0.89986,0.99946,1,0.995,0.85603,0.65476,0.26711,0.84965,0.0011486,0.0011486,0.0011486
131,2755.41,0.69718,0.32904,0.90391,0.99947,1,0.995,0.85253,0.67799,0.27036,0.85879,0.001142,0.001142,0.001142
132,2775.9,0.67544,0.32047,0.90277,0.99943,1,0.995,0.82369,0.76518,0.29633,0.87608,0.0011354,0.0011354,0.0011354
133,2796.87,0.68348,0.32681,0.8958,0.99945,1,0.995,0.84234,0.72396,0.27995,0.86569,0.0011288,0.0011288,0.0011288
134,2818.33,0.67531,0.32775,0.89959,0.99945,1,0.995,0.84525,0.67606,0.27455,0.85251,0.0011222,0.0011222,0.0011222
135,2839.36,0.68236,0.32448,0.90215,0.99942,1,0.995,0.82384,0.7299,0.28766,0.86818,0.0011156,0.0011156,0.0011156
136,2859.49,0.69361,0.33296,0.9049,0.99925,1,0.995,0.81079,0.79742,0.3057,0.88274,0.001109,0.001109,0.001109
137,2880.13,0.66651,0.32468,0.89431,0.99939,1,0.995,0.82859,0.7051,0.29006,0.86366,0.0011024,0.0011024,0.0011024
138,2901.56,0.69352,0.32489,0.89764,0.99945,1,0.995,0.83328,0.75074,0.29614,0.87882,0.0010958,0.0010958,0.0010958
139,2922.57,0.69873,0.33569,0.90492,0.99944,1,0.995,0.84157,0.68912,0.28399,0.86002,0.0010892,0.0010892,0.0010892
140,2943.27,0.69427,0.34849,0.89851,0.99939,1,0.995,0.82092,0.73052,0.28748,0.87184,0.0010826,0.0010826,0.0010826
141,2963.46,0.6981,0.33757,0.9089,0.99944,1,0.995,0.85868,0.65176,0.26525,0.85189,0.001076,0.001076,0.001076
142,2984.44,0.68567,0.32882,0.90575,0.99947,1,0.995,0.83917,0.67241,0.27585,0.85954,0.0010694,0.0010694,0.0010694
143,3005.76,0.67166,0.32004,0.89599,0.99945,1,0.995,0.8333,0.77847,0.30573,0.88265,0.0010628,0.0010628,0.0010628
144,3026.54,0.67182,0.32755,0.89409,0.99945,1,0.995,0.82623,0.75422,0.30018,0.87764,0.0010562,0.0010562,0.0010562
145,3047.99,0.664,0.3231,0.90143,0.9936,1,0.995,0.8693,0.61846,0.27496,0.84267,0.0010496,0.0010496,0.0010496
